"","sigpe","sigpb","ncase","rho","rel","rpe.cor","p.pe","sig.pe","rpb.cor","p.pb","sig.pb","sigpe.1","sigpb.1","x"
"94",0,1,20,0.7,0.5,0.37848468014098,0.101598313423661,0,0.547382480911166,0.0159200567911539,1,0,1,3
"95",1,1,20,0.7,0.5,0.610916446205215,0.0127934632017864,1,0.589251491294878,0.01401436225983,1,1,1,18
"96",0,0,20,0,0.6,0.0279107484171655,0.531351254938982,0,0.0174602506773943,0.539274059577222,0,0,0,90
"97",1,0,20,0,0.6,0.0261101313460711,0.0383847892073713,1,0.0278348318063643,0.108380238589334,0,1,0,4
"98",0,1,20,0,0.6,0.0577107397815466,0.165646559734445,0,0.01473963094294,0.0317197959032909,1,0,1,4
"99",1,1,20,0,0.6,0.460393106925715,0.0412648931781088,1,0.493669955674138,0.026989134824566,1,1,1,2
"100",0,0,20,0.1,0.6,0.0276573496278201,0.521905648128378,0,0.0267897977596752,0.480746560377276,0,0,0,92
"101",1,0,20,0.1,0.6,-0.540123466395808,0.0139555659919842,1,-0.327048432703786,0.159282951335759,0,1,0,1
"102",0,1,20,0.1,0.6,0.186686549262478,0.105457165888233,0,0.263096713589272,0.0245101302708653,1,0,1,4
"103",1,1,20,0.1,0.6,0.22889185487491,0.0041334159698109,1,0.222285660847088,0.0237702805894395,1,1,1,3
"104",0,0,20,0.2,0.6,0.0935497957249213,0.466090091813268,0,0.0916764922593036,0.462981129488339,0,0,0,89
"105",1,0,20,0.2,0.6,0.51893059190589,0.0225301440952418,1,0.219546438617237,0.420277604556457,0,1,0,4
"106",0,1,20,0.2,0.6,-0.110616778276531,0.0969838499263872,0,-0.168912176231414,0.0329114671794497,1,0,1,3
"107",1,1,20,0.2,0.6,-0.0456375315149674,0.0165958328384903,1,0.0562476114075608,0.0293773063473167,1,1,1,4
"108",0,0,20,0.3,0.6,0.137231755724025,0.46863885944923,0,0.122180278535203,0.474308856051253,0,0,0,86
"109",1,0,20,0.3,0.6,0.476732474621505,0.034599134845031,1,0.293620236948535,0.242224051054944,0,1,0,3
"110",0,1,20,0.3,0.6,0.335915639370013,0.158717819921009,0,0.498869165666633,0.0280013143245719,1,0,1,6
"111",1,1,20,0.3,0.6,0.55586879586876,0.0172893291845238,1,0.54890484874962,0.0153771111306495,1,1,1,5
"112",0,0,20,0.4,0.6,0.138789531184455,0.482991282160422,0,0.14199810193761,0.487870214094725,0,0,0,87
"113",1,0,20,0.4,0.6,0.498690186977105,0.0270699903339099,1,0.341004469726935,0.160783541716049,0,1,0,7
"114",0,1,20,0.4,0.6,0.362160521335253,0.129217716791998,0,0.48914304063972,0.0286183111117154,1,0,1,2
"115",1,1,20,0.4,0.6,0.577453149400139,0.0174054348315001,1,0.593085532290815,0.0116974899630564,1,1,1,4
"116",0,0,20,0.5,0.6,0.232382831224501,0.312221424789102,0,0.170634080526689,0.419687594538455,0,0,0,65
"117",1,0,20,0.5,0.6,0.51880533725373,0.0218037953435346,1,0.376984260105917,0.111103273977388,0,1,0,13
"118",0,1,20,0.5,0.6,0.325784159777895,0.181537858002126,0,0.536529130939432,0.016281655684981,1,0,1,6
"119",1,1,20,0.5,0.6,0.558558720668517,0.0174270594338003,1,0.586472213838228,0.00987876254144499,1,1,1,16
"120",0,0,20,0.6,0.6,0.218490785330175,0.386356190814429,0,0.231832052279604,0.370700235135811,0,0,0,50
"121",1,0,20,0.6,0.6,0.520383617876509,0.020989021438739,1,0.330686534307138,0.187261188003728,0,1,0,22
"122",0,1,20,0.6,0.6,0.368077460222338,0.133703979978418,0,0.489537800922573,0.0316566307840437,1,0,1,7
